name,area,profileUrl,positionName,id,parentId
Sotware Dev,Sotware Dev,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Sotware Dev,
Promote&Selling,Promote&Selling,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Promote&Selling,Sotware Dev
Measure,Measure,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Measure,Sotware Dev
Yanik,Yanik,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Yanik,Sotware Dev
PIF,PIF,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,PIF,Sotware Dev
Care & Engage,Care & Engage,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,Pieter,Care & Engage,Sotware Dev
Social Care,Social Care,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,Pieter,Social Care,Care & Engage
Engage,Engage,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,Tyler Brown,Engage,Care & Engage
Promote,Promote,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Promote,Promote&Selling
Social Selling,Social Selling,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Social Selling,Promote&Selling
Analytics,Analytics,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Analytics,Measure
Impact,Impact,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Impact,Measure
Publishing & Customer Activation,Publishing & Customer Activation,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Publishing & Customer Activation,Yanik
Mobile,Mobile,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Mobile,Yanik
Product Growth,Product Growth,https://callifony.com/wp-content/uploads/2021/07/saas-1.png,,Product Growth,Yanik
